U.S. Census Bureau,
Source: Advance Monthly Sales for Retail and Food Services,
448: Clothing and Clothing Access. Stores: U.S. Total,
Not Seasonally Adjusted Sales - Monthly [Millions of Dollars],
Period: 1992 to 2025,
Data Extracted on: July 26, 2025 (4:17 pm)
Link to the original data source: https://www.census.gov/econ/currentdata/?programCode=MARTS&startYear=1992&endYear=2025&categories[]=448&dataType=SM&geoLevel=US&adjusted=0&notAdjusted=1&errorData=0,
,
Period,Value
Dec-19,34163
Jan-20,16314
Feb-20,18587
Mar-20,10614
Apr-20,2631
May-20,8403
Jun-20,15756
Jul-20,17056
Aug-20,18045
Sep-20,17845
Oct-20,19047
Nov-20,20197
Dec-20,30425
Jan-21,14864
Feb-21,15471
Mar-21,22898
Apr-21,22386
May-21,24962
Jun-21,23705
Jul-21,24315
Aug-21,24108
Sep-21,21703
Oct-21,23350
Nov-21,27451
Dec-21,37490
Jan-22,17137
Feb-22,19345
Mar-22,24310
Apr-22,24428
May-22,25313
Jun-22,23552
Jul-22,23733
Aug-22,24772
Sep-22,22359
Oct-22,23409
Nov-22,27000
Dec-22,37932
Jan-23,18427
Feb-23,19902
Mar-23,23641
Apr-23,23422
May-23,25160
Jun-23,23528
Jul-23,24075
Aug-23,25772
Sep-23,22573
Oct-23,23143
Nov-23,27490
Dec-23,39318
Jan-24,18472
Feb-24,21169
Mar-24,24109
Apr-24,23150
May-24,26511
Jun-24,24285
Jul-24,24575
Aug-24,26262
Sep-24,22259
Oct-24,24359
Nov-24,28716
Dec-24,39876
Jan-25,19461
Feb-25,20653
Mar-25,24941
Apr-25,24739
May-25,27941
Jun-25,24869
Jul-25,NA
Aug-25,NA
Sep-25,NA
Oct-25,NA
Nov-25,NA
Dec-25,NA
